,MemberId,Date,MonthName,Month,QuarterName,Quarter,Year,YearName,Weekday
0,20200504,04/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Sunday
1,20200505,05/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Tuesday
2,20200506,06/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Friday
3,20200507,07/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Sunday
4,20200508,08/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Wednesday
5,20200509,09/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Saturday
6,20200510,10/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Monday
7,20200511,11/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Thursday
8,20200512,12/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Saturday
9,20200513,13/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Wednesday
10,20200514,14/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Thursday
11,20200515,15/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Friday
12,20200516,16/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Saturday
13,20200517,17/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Sunday
14,20200518,18/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Monday
15,20200519,19/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Tuesday
16,20200520,20/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Wednesday
17,20200521,21/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Thursday
18,20200522,22/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Friday
19,20200523,23/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Saturday
20,20200524,24/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Sunday
21,20200525,25/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Monday
22,20200526,26/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Tuesday
23,20200527,27/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Wednesday
24,20200528,28/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Thursday
25,20200529,29/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Friday
26,20200530,30/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Saturday
27,20200531,31/05/2020,May-20,202005,Q2 2020,20202,2020,Year 2020,Sunday
28,20200601,01/06/2020,Jun-20,202006,Q2 2020,20202,2020,Year 2020,Monday
29,20200602,02/06/2020,Jun-20,202006,Q2 2020,20202,2020,Year 2020,Thursday
30,20200603,03/06/2020,Jun-20,202006,Q2 2020,20202,2020,Year 2020,Friday
31,20200604,04/06/2020,Jun-20,202006,Q2 2020,20202,2020,Year 2020,Monday
32,20200605,05/06/2020,Jun-20,202006,Q2 2020,20202,2020,Year 2020,Wednesday
33,20200606,06/06/2020,Jun-20,202006,Q2 2020,20202,2020,Year 2020,Saturday
